Starting WeensyOS
VA 0x126000 maps to PA 0x126000 with PERMS 0x1, 0x2, 0x4
VA 0x127000 maps to PA 0x127000 with PERMS 0x1, 0x2, 0x4
VA 0x128000 maps to PA 0x128000 with PERMS 0x1, 0x2, 0x4
VA 0x129000 maps to PA 0x129000 with PERMS 0x1, 0x2, 0x4
VA 0x12a000 maps to PA 0x12a000 with PERMS 0x1, 0x2, 0x4
VA 0x12b000 maps to PA 0x12b000 with PERMS 0x1, 0x2, 0x4
VA 0x12c000 maps to PA 0x12c000 with PERMS 0x1, 0x2, 0x4
VA 0x12d000 maps to PA 0x12d000 with PERMS 0x1, 0x2, 0x4
VA 0x12e000 maps to PA 0x12e000 with PERMS 0x1, 0x2, 0x4
VA 0x12f000 maps to PA 0x12f000 with PERMS 0x1, 0x2, 0x4
VA 0x130000 maps to PA 0x130000 with PERMS 0x1, 0x2, 0x4
VA 0x131000 maps to PA 0x131000 with PERMS 0x1, 0x2, 0x4
VA 0x132000 maps to PA 0x132000 with PERMS 0x1, 0x2, 0x4
VA 0x133000 maps to PA 0x133000 with PERMS 0x1, 0x2, 0x4
VA 0x134000 maps to PA 0x134000 with PERMS 0x1, 0x2, 0x4
VA 0x135000 maps to PA 0x135000 with PERMS 0x1, 0x2, 0x4
VA 0x136000 maps to PA 0x136000 with PERMS 0x1, 0x2, 0x4
VA 0x137000 maps to PA 0x137000 with PERMS 0x1, 0x2, 0x4
VA 0x138000 maps to PA 0x138000 with PERMS 0x1, 0x2, 0x4
VA 0x139000 maps to PA 0x139000 with PERMS 0x1, 0x2, 0x4
VA 0x13a000 maps to PA 0x13a000 with PERMS 0x1, 0x2, 0x4
VA 0x13b000 maps to PA 0x13b000 with PERMS 0x1, 0x2, 0x4
VA 0x13c000 maps to PA 0x13c000 with PERMS 0x1, 0x2, 0x4
VA 0x13d000 maps to PA 0x13d000 with PERMS 0x1, 0x2, 0x4
VA 0x13e000 maps to PA 0x13e000 with PERMS 0x1, 0x2, 0x4
VA 0x13f000 maps to PA 0x13f000 with PERMS 0x1, 0x2, 0x4
VA 0x140000 maps to PA 0x140000 with PERMS 0x1, 0x2, 0x4
VA 0x141000 maps to PA 0x141000 with PERMS 0x1, 0x2, 0x4
VA 0x142000 maps to PA 0x142000 with PERMS 0x1, 0x2, 0x4
VA 0x143000 maps to PA 0x143000 with PERMS 0x1, 0x2, 0x4
VA 0x144000 maps to PA 0x144000 with PERMS 0x1, 0x2, 0x4
VA 0x145000 maps to PA 0x145000 with PERMS 0x1, 0x2, 0x4
VA 0x146000 maps to PA 0x146000 with PERMS 0x1, 0x2, 0x4
VA 0x147000 maps to PA 0x147000 with PERMS 0x1, 0x2, 0x4
VA 0x148000 maps to PA 0x148000 with PERMS 0x1, 0x2, 0x4
VA 0x149000 maps to PA 0x149000 with PERMS 0x1, 0x2, 0x4
VA 0x14a000 maps to PA 0x14a000 with PERMS 0x1, 0x2, 0x4
VA 0x14b000 maps to PA 0x14b000 with PERMS 0x1, 0x2, 0x4
VA 0x14c000 maps to PA 0x14c000 with PERMS 0x1, 0x2, 0x4
VA 0x14d000 maps to PA 0x14d000 with PERMS 0x1, 0x2, 0x4
VA 0x14e000 maps to PA 0x14e000 with PERMS 0x1, 0x2, 0x4
VA 0x14f000 maps to PA 0x14f000 with PERMS 0x1, 0x2, 0x4
VA 0x150000 maps to PA 0x150000 with PERMS 0x1, 0x2, 0x4
VA 0x151000 maps to PA 0x151000 with PERMS 0x1, 0x2, 0x4
VA 0x152000 maps to PA 0x152000 with PERMS 0x1, 0x2, 0x4
VA 0x153000 maps to PA 0x153000 with PERMS 0x1, 0x2, 0x4
VA 0x154000 maps to PA 0x154000 with PERMS 0x1, 0x2, 0x4
VA 0x155000 maps to PA 0x155000 with PERMS 0x1, 0x2, 0x4
